Year,Value
2009-01-01,3308
2009-01-01,2293
2009-01-01,3873
2009-01-01,3761
2009-01-01,2472
2009-01-01,3084
2009-01-01,2696
2009-01-01,2474
2009-01-01,3622
2009-01-01,5186
2009-01-01,2596
2009-01-01,1965
2009-01-01,3075
2009-01-01,2582
2009-01-01,3151
2009-01-01,4160
2009-01-01,3883
2009-01-01,3191
2009-01-01,4379
2009-01-01,2512
2009-01-01,2245
2009-01-01,2800
2009-01-01,1218
2009-01-01,3224
2010-01-01,6282
2010-01-01,7392
2010-01-01,5710
2010-01-01,7219
2010-01-01,5021
2010-01-01,7544
2010-01-01,5417
2010-01-01,6100
2010-01-01,6645
2010-01-01,8370
2010-01-01,10796
2010-01-01,8235
2010-01-01,5945
2010-01-01,4457
2010-01-01,5287
2010-01-01,6154
2010-01-01,6687
2010-01-01,7496
2010-01-01,5695
2010-01-01,3933
2010-01-01,9329
2010-01-01,5046
2010-01-01,6127
2010-01-01,6778
2010-01-01,4524
2010-01-01,8900
2010-01-01,4865
2010-01-01,3174
2010-01-01,5018
2010-01-01,8030
2010-01-01,6014
2010-01-01,4456
2010-01-01,6952
2010-01-01,5793
2010-01-01,6933
2010-01-01,8132
2010-01-01,7599
2010-01-01,6061
2010-01-01,8209
2010-01-01,6607
2010-01-01,7593
2010-01-01,6105
2010-01-01,8010
2010-01-01,4648
2010-01-01,8767
2010-01-01,5877
2010-01-01,8332
2010-01-01,3797
2010-01-01,10039
2010-01-01,4622
2010-01-01,8504
2010-01-01,5805
2011-01-01,5401
2011-01-01,7188
2011-01-01,2246
2011-01-01,5898
2011-01-01,5454
2011-01-01,4028
2011-01-01,4757
2011-01-01,3717
2011-01-01,3149
2011-01-01,5398
2011-01-01,4913
2011-01-01,4394
2011-01-01,4969
2011-01-01,4483
2011-01-01,4543
2011-01-01,4165
2011-01-01,5797
2011-01-01,4369
2011-01-01,5788
2011-01-01,6482
2011-01-01,3507
2011-01-01,6367
2011-01-01,6353
2011-01-01,6537
2011-01-01,4270
2011-01-01,4801
2011-01-01,5766
2011-01-01,5947
2011-01-01,6210
2011-01-01,6794
2011-01-01,4610
2011-01-01,2867
2011-01-01,5318
2011-01-01,4153
2011-01-01,6398
2011-01-01,4564
2011-01-01,5383
2011-01-01,5922
2011-01-01,5353
2011-01-01,6913
2011-01-01,6349
2011-01-01,4782
2011-01-01,6266
2011-01-01,6701
2011-01-01,3036
2011-01-01,4161
2011-01-01,7132
2011-01-01,7190
2011-01-01,5400
2011-01-01,3189
2011-01-01,6388
2011-01-01,3744
2012-01-01,2942
2012-01-01,6470
2012-01-01,4482
2012-01-01,5944
2012-01-01,8775
2012-01-01,5254
2012-01-01,764
2012-01-01,5920
2012-01-01,4563
2012-01-01,6113
2012-01-01,5592
2012-01-01,5777
2012-01-01,5787
2012-01-01,2896
2012-01-01,4754
2012-01-01,5252
2012-01-01,5815
2012-01-01,5868
2012-01-01,5126
2012-01-01,4542
2012-01-01,5895
2012-01-01,5707
2012-01-01,3553
2012-01-01,6767
2012-01-01,3533
2012-01-01,4824
2012-01-01,4167
2012-01-01,5053
2012-01-01,7632
2012-01-01,4306
2012-01-01,6337
2012-01-01,8648
2012-01-01,3276
2012-01-01,5010
2012-01-01,4792
2012-01-01,4875
2012-01-01,5258
2012-01-01,4674
2012-01-01,5508
2012-01-01,5025
2012-01-01,6354
2012-01-01,4880
2012-01-01,4189
2012-01-01,5933
2012-01-01,5302
2012-01-01,5131
2012-01-01,6623
2012-01-01,6168
2012-01-01,6302
2012-01-01,5115
2012-01-01,6302
2012-01-01,5702
2013-01-01,6098
2013-01-01,7088
2013-01-01,8087
2013-01-01,8225
2013-01-01,9415
2013-01-01,7305
2013-01-01,6426
2013-01-01,9505
2013-01-01,7104
2013-01-01,5081
2013-01-01,8721
2013-01-01,7250
2013-01-01,5088
2013-01-01,6708
2013-01-01,6388
2013-01-01,5208
2013-01-01,8331
2013-01-01,7211
2013-01-01,5990
2013-01-01,6979
2013-01-01,7469
2013-01-01,7754
2013-01-01,3046
2013-01-01,6752
2013-01-01,6251
2013-01-01,6105
2013-01-01,8733
2013-01-01,7075
2013-01-01,8303
2013-01-01,3405
2013-01-01,7507
2013-01-01,7839
2013-01-01,10736
2013-01-01,6463
2013-01-01,10110
2013-01-01,5153
2013-01-01,6258
2013-01-01,3675
2013-01-01,10326
2013-01-01,8635
2013-01-01,6868
2013-01-01,6284
2013-01-01,6075
2013-01-01,5004
2013-01-01,4636
2013-01-01,9143
2013-01-01,4636
2013-01-01,8825
2013-01-01,4094
2013-01-01,7079
2013-01-01,9729
2013-01-01,4966
2014-01-01,6338
2014-01-01,5264
2014-01-01,5509
2014-01-01,4286
2014-01-01,4425
2014-01-01,2586
2014-01-01,5452
2014-01-01,4167
2014-01-01,6353
2014-01-01,7068
2014-01-01,5052
2014-01-01,5006
2014-01-01,6596
2014-01-01,5277
2014-01-01,5834
2014-01-01,3501
2014-01-01,3207
2014-01-01,4436
2014-01-01,3193
2014-01-01,4237
2014-01-01,6230
2014-01-01,3441
2014-01-01,3501
2014-01-01,5329
2014-01-01,3148
2014-01-01,4281
2014-01-01,4183
2014-01-01,5486
2014-01-01,5917
2014-01-01,3804
2014-01-01,5877
2014-01-01,5409
2014-01-01,5264
2014-01-01,6177
2014-01-01,6272
2014-01-01,5244
2014-01-01,5697
2014-01-01,5449
2014-01-01,4965
2014-01-01,3841
2014-01-01,3859
2014-01-01,5410
2014-01-01,3747
2014-01-01,2988
2014-01-01,3895
2014-01-01,6200
2014-01-01,6156
2014-01-01,4064
2014-01-01,4607
2014-01-01,5685
2014-01-01,6243
2014-01-01,5087
2015-01-01,9514
2015-01-01,15028
2015-01-01,10317
2015-01-01,6311
2015-01-01,12081
2015-01-01,7862
2015-01-01,6152
2015-01-01,9294
2015-01-01,9968
2015-01-01,10058
2015-01-01,12123
2015-01-01,13267
2015-01-01,12190
2015-01-01,9600
2015-01-01,14880
2015-01-01,7674
2015-01-01,12686
2015-01-01,9759
2015-01-01,10179
2015-01-01,12448
2015-01-01,11726
2015-01-01,11629
2015-01-01,11850
2015-01-01,10119
2015-01-01,10040
2015-01-01,11431
2015-01-01,8472
2015-01-01,11755
2015-01-01,9139
2015-01-01,9007
2015-01-01,7379
2015-01-01,8786
2015-01-01,7957
2015-01-01,12305
2015-01-01,10029
2015-01-01,9330
2015-01-01,10047
2015-01-01,7714
2015-01-01,9798
2015-01-01,9195
2015-01-01,10225
2015-01-01,11006
2015-01-01,9069
2015-01-01,8722
2015-01-01,13552
2015-01-01,9689
2015-01-01,7443
2015-01-01,7510
2015-01-01,12284
2015-01-01,16188
2015-01-01,6273
2015-01-01,7626
2016-01-01,6522
2016-01-01,9013
2016-01-01,6163
2016-01-01,7677
2016-01-01,7019
2016-01-01,6178
2016-01-01,7359
2016-01-01,5702
2016-01-01,7684
2016-01-01,6856
2016-01-01,8616
2016-01-01,5062
2016-01-01,10771
2016-01-01,5543
2016-01-01,7594
2016-01-01,8832
2016-01-01,6697
2016-01-01,7360
2016-01-01,4884
2016-01-01,8800
2016-01-01,8073
2016-01-01,6103
2016-01-01,9088
2016-01-01,5605
2016-01-01,5546
2016-01-01,7609
2016-01-01,7154
2016-01-01,3734
2016-01-01,7319
2016-01-01,5452
2016-01-01,5639
2016-01-01,5281
2016-01-01,7062
2016-01-01,7624
2016-01-01,8141
2016-01-01,8658
2016-01-01,5079
2016-01-01,7075
2016-01-01,3818
2016-01-01,5357
2016-01-01,6309
2016-01-01,5819
2016-01-01,4747
2016-01-01,6820
2016-01-01,5280
2016-01-01,5831
2016-01-01,8335
2016-01-01,6021
2016-01-01,6129
2016-01-01,7955
2016-01-01,8288
2016-01-01,7590
2017-01-01,11963
2017-01-01,9462
2017-01-01,11045
2017-01-01,7591
2017-01-01,7806
2017-01-01,8298
2017-01-01,6732
2017-01-01,8509
2017-01-01,10681
2017-01-01,5369
2017-01-01,7507
2017-01-01,6103
2017-01-01,10027
2017-01-01,8515
2017-01-01,10561
2017-01-01,8707
2017-01-01,4604
2017-01-01,3056
2017-01-01,6478
2017-01-01,5665
2017-01-01,6401
2017-01-01,10250
2017-01-01,6607
2017-01-01,9385
2017-01-01,7817
2017-01-01,7976
2017-01-01,3842
2017-01-01,7139
2017-01-01,8747
2017-01-01,7820
2017-01-01,8539
2017-01-01,9229
2017-01-01,7590
2017-01-01,9357
2017-01-01,6683
2017-01-01,8202
2017-01-01,8891
2017-01-01,9512
2017-01-01,7637
2017-01-01,7144
2017-01-01,8357
2017-01-01,10657
2017-01-01,7509
2017-01-01,8746
2017-01-01,8680
2017-01-01,8619
2017-01-01,8404
2017-01-01,3607
2017-01-01,8398
2017-01-01,5532
2017-01-01,9396
2017-01-01,6414
